Thu. Mar. 19, 2015             LANDSAT 5                 Time: 16:00
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L15071890            Path/Row: 122 / 044

L0R Reference Image: L51BKT1088329020100_HDF.150781832
Acquisition Date: Nov 24, 1988

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
122   044   09-14-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1220440193_01   22.779270  113.229372    -4.764      -3.612     2.364    -3.907     1.844
1220440194_01   23.363248  113.209684    -0.883       0.471     3.427    -0.008     3.460
1220440196_01   22.507870  112.560788     2.381       0.001     4.139    -0.580     4.099
1220440198_01   22.917477  113.664336    13.085       3.875    -4.777     4.502    -4.199
1220440199_01   23.232275  112.866340     3.950      -0.233     1.614    -0.459     1.566
1220440203_01   22.282062  114.235464    39.672       4.466    -3.663     4.944    -3.009
1220440204_01   23.137449  113.707024    -1.598       0.156    -4.321     0.752    -4.261
1220440206_01   22.957187  112.632016     0.696      -1.319     3.579    -1.808     3.363
1220440208_01   22.426256  112.621658     6.936      -1.468     2.992    -1.876     2.760
1220440209_01   22.879576  112.695704    10.192      -1.850    -6.504    -0.942    -6.699
1220440211_01   23.043477  113.610920    -2.073      -5.050    -0.065    -4.995    -0.761
1220440212_01   22.887286  113.114780    -2.568      -3.014     1.255    -3.163     0.828
1220440217_01   22.573307  113.075245     3.497      -1.919    -3.243    -1.455    -3.479
1220440220_01   23.504085  113.339778   193.473      -6.425    -3.110    -5.941    -3.963
1220440224_01   23.451129  113.762394    28.585       1.470     1.593     1.240     1.781
1220440226_01   23.040174  113.044281    -3.755      -2.486    -1.397    -2.275    -1.727
1220440230_01   23.350243  113.190695    -1.513      -1.899    -1.555    -1.672    -1.802
1220440242_01   23.321622  113.297859    -2.147      -2.240     2.581    -2.577     2.250
1220440244_01   22.709004  113.368951    -3.884       0.333    -1.699     0.564    -1.638
1220440248_01   23.110606  113.299814     0.497      -4.573     0.147    -4.554    -0.484
