==============================================================================
==============================================================================
Thu. Mar. 19 2015                  LANDSAT 5                       Time: 21:10
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601503185219_00001                          Path / Row - 122 / 44
Reference Image: L51BKT1088329020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 99.0%
Rank   2 --  1.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1220440720   23.80671    113.74338    -0.17     -0.01     0.17     1 
1220440722   23.80565    113.80280    -0.08     -0.00     0.08     1 
1220440723   23.80510    113.83251     0.40     -0.08     0.40     1 
1220440724   23.80455    113.86222     0.08     -0.09     0.13     1 
1220440725   23.80400    113.89193    -0.17     -0.01     0.17     1 
1220440726   23.80344    113.92164     0.00     -0.14     0.14     1 
1220440727   23.80287    113.95134    -0.16     -0.16     0.23     1 
1220440728   23.80230    113.98105    -0.21     -0.17     0.27     1 
1220440729   23.80172    114.01075    -0.17     -0.07     0.19     1 
1220440730   23.80114    114.04045    -0.02     -0.21     0.21     1 
1220440731   23.80055    114.07016    -0.35      0.03     0.36     1 
1220440732   23.79996    114.09986    -0.35      0.06     0.35     1 
1220440735   23.79814    114.18896    -0.38     -0.05     0.38     1 
1220440736   23.79752    114.21865     0.03     -0.16     0.16     1 
1220440737   23.79690    114.24835    -0.02      0.07     0.07     1 
1220440738   23.79627    114.27805     0.04     -0.11     0.11     1 
1220440739   23.79564    114.30774    -0.27     -0.09     0.29     1 
1220440741   23.79435    114.36713    -0.27      0.02     0.27     1 
1220440742   23.79370    114.39682    -0.26     -0.08     0.27     1 
1220440744   23.79238    114.45619    -0.05     -0.01     0.05     1 
1220440746   23.79104    114.51557     0.18     -0.02     0.18     1 
