Tue. May. 21, 2013             LANDSAT 5                 Time: 03:28
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L7295487            Path/Row: 122 / 044

L0R Reference Image: L51BKT1009306020100_HDF.131410820
Acquisition Date: Nov 02, 2009

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
122   044   2000-09-14


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1220440155   23.746517  113.778593   214.089       0.921     1.528     0.703     1.640
1220440159   23.659535  113.674747    45.389      -0.197    -0.180    -0.170    -0.205
1220440163   23.113479  113.269702     3.828       1.886     5.016     1.175     5.230
1220440164   22.643321  113.107230    -4.328      -0.378     0.383    -0.428     0.327
1220440167   23.540048  113.414438   161.559       3.767    -1.166     3.893    -0.636
1220440168   23.076633  112.761120    -6.219      -5.455    -2.493    -5.057    -3.223
1220440170   23.177593  113.179377    -4.916      -2.262    -0.836    -2.125    -1.141
1220440172   23.152587  113.676872     0.011      -2.902    -4.603    -2.240    -4.963
1220440174   22.453892  113.154190     0.038       3.369    -1.717     3.577    -1.233
1220440177   23.412274  112.832752    43.535      -1.579     1.651    -1.790     1.418
1220440178   23.603819  113.317152   196.609       5.251    -4.088     5.765    -3.326
1220440179   23.801105  113.986905   290.606       3.902    -6.463     4.754    -5.868
1220440180   23.554211  113.265162   295.947       5.964    -4.577     6.537    -3.712
1220440182   23.263427  112.772948     0.240      -0.950     0.848    -1.056     0.709
1220440185   23.646665  113.313496   265.983       3.370     0.960     3.206     1.414
1220440188   22.586238  114.117754    39.054       5.484     3.399     4.962     4.132
1220440190   23.846761  114.047111   221.550       0.775     4.148     0.197     4.218
1220440191   23.117760  113.885790     1.343      -1.786     5.876    -2.583     5.576
1220440192   22.956099  113.174056    -7.223      -1.184     2.121    -1.466     1.937
1220440193   22.779270  113.229372    -4.764      -1.002    -1.725    -0.753    -1.848
1220440199   23.232275  112.866340     3.950      -4.941     0.332    -4.939    -0.352
1220440201   23.018095  114.087826    18.148      -0.613    -2.809    -0.220    -2.869
1220440202   22.701457  114.010640    65.530      -2.464     0.538    -2.518     0.191
1220440203   22.282062  114.235464    39.672      -0.676    -6.563     0.242    -6.600
1220440206   22.957187  112.632016     0.696       1.437     4.296     0.829     4.454
